 "Manzana","Zona"
"416","zona 2"
"417","zona 2"
"418","zona 2"
"419","zona 2"
"42","zona 2"
"43","zona 2"
"44","zona 2"
"45","zona 2"
"46","zona 2"
"47","zona 2"
"7","zona 8 a pie"
"70","zona 8 a pie"
"71","zona 2"
"72","zona 2"
"73","zona 2"
"74","zona 2"
"75","zona 2"
"76","zona 2"
"77","zona 2"
"78","zona 2"
"8","zona 8 a pie"
"8046","zona 2"
"9","zona 8 a pie"
"103","zona 2"
"1033","zona 3"
"1034","zona 3"
"1035","zona 3"
"1036","zona 3"
"104","zona 2"
"105","zona 2"
"106","zona 2"
"1166","zona 3"
"1167","zona 3"
"1168","zona 3"
"1169","zona 3"
"1307","zona 3"
"1308","zona 3"
"1309","zona 3"
"1310","zona 3"
"1456","zona 3"
"1457","zona 3"
"1458","zona 3"
"1459","zona 3"
"148","zona 2"
"149","zona 2"
"150","zona 2"
"151","zona 2"
"16","zona 8 a pie"
"1613","zona 3"
"1614","zona 3"
"1615","zona 3"
"1616","zona 3"
"17","zona 8 a pie"
"1778","zona 3"
"1779","zona 3"
"1780","zona 3"
"1781","zona 3"
"18","zona 8 a pie"
"19","zona 8 a pie"
"1951","zona 3"
"1952","zona 3"
"1953","zona 3"
"1954","zona 3"
"200","zona 2"
"201","zona 2"
"202","zona 2"
"203","zona 2"
"204","zona 2"
"2132","zona 3"
"2133","zona 3"
"2134","zona 3"
"2135","zona 3"
"2321","zona 3"
"2322","zona 3"
"2323","zona 3"
"2324","zona 3"
"2518","zona 3"
"2519","zona 3"
"2520","zona 3"
"2521","zona 3"
"261","zona 2"
"262","zona 2"
"263","zona 2"
"264","zona 2"
"265","zona 2"
"2723","zona 3"
"2724","zona 3"
"2725","zona 3"
"2726","zona 3"
"2936","zona 3"
"2937","zona 3"
"2938","zona 3"
"330","zona 2"
"331","zona 2"
"332","zona 2"
"333","zona 2"
"334","zona 2"
"38","zona 8 a pie"
"39","zona 8 a pie"
"40","zona 8 a pie"
"407","zona 2"
"408","zona 2"
"409","zona 2"
"410","zona 2"
"411","zona 2"
"488","zona 3"
"489","zona 3"
"490","zona 3"
"491","zona 3"
"5","zona 8 a pie"
"581","zona 3"
"582","zona 3"
"583","zona 3"
"584","zona 3"
"6","zona 8 a pie"
"65","zona 8 a pie"
"66","zona 8 a pie"
"67","zona 8 a pie"
"68","zona 8 a pie"
"682","zona 3"
"683","zona 3"
"684","zona 3"
"685","zona 3"
"69","zona 8 a pie"
"791","zona 3"
"792","zona 3"
"793","zona 3"
"794","zona 3"
"908","zona 3"
"909","zona 3"
"910","zona 3"
"911","zona 3"
"9588","zona 2"
"1081","zona 5"
"1082","zona 5"
"1083","zona 5"
"1084","zona 5"
"1085","zona 5"
"1086","zona 5"
"1087","zona 5"
"1088","zona 5"
"1089","zona 5"
"1090","zona 5"
"1091","zona 5"
"1092","zona 5"
"1093","zona 5"
"1094","zona 5"
"1095","zona 5"
"1096","zona 5"
"1097","zona 5"
"1227","zona 6"
"1228","zona 6"
"1229","zona 6"
"1230","zona 6"
"1231","zona 6"
"1233","zona 6"
"1234","zona 6"
"1372","zona 6"
"1373","zona 6"
"1374","zona 6"
"1375","zona 6"
"1376","zona 6"
"1377","zona 6"
"1378","zona 6"
"1379","zona 6"
"1525","zona 6"
"1526","zona 6"
"1527","zona 6"
"1528","zona 6"
"1529","zona 6"
"1530","zona 6"
"1531","zona 6"
"1532","zona 6"
"1686","zona 6"
"1687","zona 6"
"1688","zona 6"
"1689","zona 6"
"1690","zona 6"
"1691","zona 6"
"1692","zona 6"
"1693","zona 6"
"1855","zona 6"
"1856","zona 6"
"1857","zona 6"
"1858","zona 6"
"1859","zona 6"
"1860","zona 6"
"1861","zona 6"
"1862","zona 6"
"2032","zona 6"
"2033","zona 6"
"2034","zona 6"
"2035","zona 6"
"2036","zona 6"
"2037","zona 6"
"2038","zona 6"
"2039","zona 6"
"2217","zona 6"
"2218","zona 6"
"2219","zona 6"
"2220","zona 6"
"2221","zona 6"
"2222","zona 6"
"2224","zona 6"
"2412","zona 6"
"2413","zona 6"
"2414","zona 6"
"2415","zona 6"
"2416","zona 6"
"2417","zona 6"
"2613","zona 6"
"2614","zona 6"
"2615","zona 6"
"2616","zona 6"
"2617","zona 6"
"2618","zona 6"
"2820","zona 6"
"2821","zona 6"
"2822","zona 6"
"2823","zona 6"
"2824","zona 6"
"2825","zona 6"
"2826","zona 6"
"2827","zona 6"
"360","zona 5"
"361","zona 5"
"362","zona 5"
"439","zona 5"
"440","zona 5"
"441","zona 5"
"442","zona 5"
"443","zona 5"
"527","zona 5"
"528","zona 5"
"529","zona 5"
"530","zona 5"
"531","zona 5"
"532","zona 5"
"621","zona 5"
"622","zona 5"
"623","zona 5"
"624","zona 5"
"625","zona 5"
"626","zona 5"
"627","zona 5"
"628","zona 5"
"629","zona 5"
"724","zona 5"
"725","zona 5"
"726","zona 5"
"727","zona 5"
"728","zona 5"
"729","zona 5"
"730","zona 5"
"731","zona 5"
"732","zona 5"
"733","zona 5"
"734","zona 5"
"835","zona 5"
"836","zona 5"
"837","zona 5"
"838","zona 5"
"839","zona 5"
"840","zona 5"
"841","zona 5"
"842","zona 5"
"843","zona 5"
"844","zona 5"
"845","zona 5"
"846","zona 5"
"847","zona 5"
"954","zona 5"
"955","zona 5"
"956","zona 8 a pie"
"958","zona 5"
"959","zona 5"
"960","zona 5"
"961","zona 5"
"962","zona 5"
"963","zona 5"
"964","zona 5"
"965","zona 5"
"966","zona 5"
"967","zona 5"
"968","zona 5"
"1098","zona 5"
"1099","zona 5"
"1100","zona 5"
"1101","zona 5"
"1102","zona 5"
"1103","zona 5"
"1104","zona 5"
"1105","zona 5"
"120","zona 5"
"121","zona 5"
"122","zona 5"
"123","zona 5"
"1235","zona 6"
"1236","zona 6"
"1237","zona 6"
"1238","zona 6"
"1239","zona 6"
"124","zona 5"
"1240","zona 6"
"1241","zona 6"
"1242","zona 6"
"125","zona 5"
"126","zona 5"
"1380","zona 6"
"1381","zona 6"
"1382","zona 6"
"1383","zona 6"
"1384","zona 6"
"1385","zona 6"
"1386","zona 6"
"1387","zona 6"
"1533","zona 6"
"1534","zona 6"
"1535","zona 6"
"1536","zona 6"
"1537","zona 6"
"1538","zona 6"
"1539","zona 6"
"1540","zona 6"
"167","zona 5"
"168","zona 5"
"169","zona 5"
"1694","zona 6"
"1695","zona 6"
"1696","zona 6"
"1697","zona 6"
"1698","zona 6"
"1699","zona 6"
"170","zona 5"
"1700","zona 6"
"1701","zona 6"
"171","zona 5"
"172","zona 5"
"173","zona 5"
"174","zona 5"
"175","zona 5"
"1863","zona 6"
"1864","zona 6"
"1865","zona 6"
"1866","zona 6"
"1867","zona 6"
"1868","zona 6"
"1869","zona 6"
"1870","zona 6"
"2040","zona 6"
"2041","zona 6"
"2042","zona 6"
"2043","zona 6"
"2044","zona 6"
"2045","zona 6"
"2046","zona 6"
"2047","zona 6"
"221","zona 5"
"222","zona 5"
"2225","zona 6"
"2226","zona 6"
"2227","zona 6"
"2228","zona 6"
"2229","zona 6"
"223","zona 5"
"2230","zona 6"
"2232","zona 6"
"224","zona 5"
"225","zona 5"
"226","zona 5"
"227","zona 5"
"228","zona 5"
"229","zona 5"
"230","zona 5"
"231","zona 5"
"232","zona 5"
"2418","zona 6"
"2419","zona 6"
"2420","zona 6"
"2422","zona 6"
"2423","zona 6"
"2424","zona 6"
"2425","zona 6"
"2619","zona 6"
"2620","zona 6"
"2622","zona 6"
"2623","zona 6"
"2624","zona 6"
"2625","zona 6"
"2626","zona 6"
"2828","zona 6"
"2829","zona 6"
"2830","zona 6"
"2831","zona 6"
"2832","zona 6"
"2833","zona 6"
"2834","zona 6"
"2835","zona 6"
"284","zona 5"
"285","zona 5"
"286","zona 5"
"287","zona 5"
"288","zona 5"
"289","zona 5"
"290","zona 5"
"291","zona 5"
"292","zona 5"
"293","zona 5"
"294","zona 5"
"295","zona 5"
"296","zona 5"
"297","zona 5"
"363","zona 5"
"364","zona 5"
"365","zona 5"
"366","zona 5"
"367","zona 5"
"368","zona 5"
"369","zona 5"
"370","zona 5"
"444","zona 5"
"445","zona 5"
"446","zona 5"
"447","zona 5"
"448","zona 5"
"449","zona 5"
"450","zona 5"
"451","zona 5"
"50","zona 5"
"51","zona 5"
"52","zona 5"
"533","zona 5"
"534","zona 5"
"535","zona 5"
"536","zona 5"
"537","zona 5"
"538","zona 5"
"539","zona 5"
"540","zona 5"
"630","zona 5"
"631","zona 5"
"632","zona 5"
"633","zona 5"
"634","zona 5"
"635","zona 5"
"636","zona 5"
"637","zona 5"
"735","zona 5"
"736","zona 5"
"737","zona 5"
"738","zona 5"
"739","zona 5"
"740","zona 5"
"741","zona 5"
"742","zona 5"
"79","zona 5"
"81","zona 5"
"82","zona 5"
"83","zona 5"
"84","zona 5"
"848","zona 5"
"849","zona 5"
"85","zona 5"
"850","zona 5"
"851","zona 5"
"852","zona 5"
"853","zona 5"
"854","zona 5"
"855","zona 5"
"969","zona 5"
"970","zona 5"
"971","zona 5"
"972","zona 5"
"973","zona 5"
"974","zona 5"
"975","zona 5"
"976","zona 5"
"1106","zona 7"
"1107","zona 7"
"1108","zona 7"
"1109","zona 7"
"1110","zona 7"
"1111","zona 7"
"1112","zona 7"
"1243","zona 6"
"1244","zona 6"
"1245","zona 6"
"1246","zona 6"
"1247","zona 6"
"1248","zona 6"
"1249","zona 6"
"1250","zona 6"
"1388","zona 6"
"1389","zona 6"
"1390","zona 6"
"1391","zona 6"
"1392","zona 6"
"1393","zona 6"
"1394","zona 6"
"1541","zona 6"
"1542","zona 6"
"1543","zona 6"
"1544","zona 6"
"1545","zona 6"
"1546","zona 6"
"1547","zona 6"
"1702","zona 6"
"1703","zona 6"
"1704","zona 6"
"1705","zona 6"
"1706","zona 6"
"1707","zona 6"
"1871","zona 6"
"1872","zona 6"
"1873","zona 6"
"1874","zona 6"
"1875","zona 6"
"1876","zona 6"
"2048","zona 6"
"2049","zona 6"
"2050","zona 6"
"2051","zona 6"
"2052","zona 6"
"2234","zona 6"
"233","zona 7"
"234","zona 7"
"235","zona 7"
"236","zona 7"
"237","zona 7"
"238","zona 7"
"239","zona 7"
"240","zona 7"
"241","zona 7"
"2426","zona 6"
"2427","zona 6"
"2627","zona 6"
"2628","zona 6"
"2629","zona 6"
"2836","zona 6"
"2837","zona 6"
"2838","zona 6"
"298","zona 7"
"299","zona 7"
"300","zona 7"
"301","zona 7"
"302","zona 7"
"303","zona 7"
"3038","zona 6"
"3039","zona 6"
"304","zona 7"
"3040","zona 6"
"3041","zona 6"
"3042","zona 6"
"3043","zona 6"
"3044","zona 6"
"3045","zona 6"
"3046","zona 6"
"3047","zona 6"
"3048","zona 6"
"3049","zona 6"
"305","zona 7"
"3050","zona 6"
"3051","zona 6"
"3052","zona 6"
"3053","zona 6"
"3054","zona 6"
"306","zona 7"
"307","zona 7"
"308","zona 7"
"3264","zona 6"
"3265","zona 6"
"3266","zona 6"
"3267","zona 6"
